0,0,0,-0.0085936,0,0,0,0,0,0,0,0
5,0,0,-0.0086259,0,0,0,0,0,0,0,0
10,0,0,-0.0086882,0,0,0,0,0,0,0,0
15,0,0,-0.0087563,0,0,0,0,0,0,0,0
20,0,0,-0.0088047,0,0,0,0,0,0,0,0
25,0,0,-0.0088729,0,0,0,0,0,0,0,0
30,0,0,-0.008947,0,0,0,0,0,0,0,0
35,0,0,-0.0090071,0,0,0,0,0,0,0,0
40,0,0,-0.0090358,0,0,0,0,0,0,0,0
45,0,0,-0.0090571,0,0,0,0,0,0,0,0
50,0,0,-0.0090557,0,0,0,0,0,0,0,0
55,0,0,-0.0090186,0,0,0,0,0,0,0,0
60,0,0,-0.0089794,0,0,0,0,0,0,0,0
65,0,0,-0.0089318,0,0,0,0,0,0,0,0
70,0,0,-0.0088926,0,0,0,0,0,0,0,0
75,0,0,-0.008842,0,0,0,0,0,0,0,0
80,0,0,-0.0088173,0,0,0,0,0,0,0,0
85,0,0,-0.008826,0,0,0,0,0,0,0,0
90,0,0,-0.0088486,0,0,0,0,0,0,0,0
95,0,0,-0.0088722,0,0,0,0,0,0,0,0
100,0,0,-0.0088951,0,0,0,0,0,0,0,0
105,0,0,-0.0089132,0,0,0,0,0,0,0,0
110,0,0,-0.0089043,0,0,0,0,0,0,0,0
115,0,0,-0.0088412,0,0,0,0,0,0,0,0
120,0,0,-0.0087605,0,0,0,0,0,0,0,0
125,0,0,-0.0087018,0,0,0,0,0,0,0,0
130,0,0,-0.0086438,0,0,0,0,0,0,0,0
135,0,0,-0.008608,0,0,0,0,0,0,0,0
140,0,0,-0.0085867,0,0,0,0,0,0,0,0
145,0,0,-0.0086038,0,0,0,0,0,0,0,0
150,0,0,-0.0086565,0,0,0,0,0,0,0,0
155,0,0,-0.0086828,0,0,0,0,0,0,0,0
160,0,0,-0.0087126,0,0,0,0,0,0,0,0
165,0,0,-0.0087324,0,0,0,0,0,0,0,0
170,0,0,-0.0087082,0,0,0,0,0,0,0,0
175,0,0,-0.0086755,0,0,0,0,0,0,0,0
180,0,0,-0.0086393,0,0,0,0,0,0,0,0
185,0,0,-0.0086352,0,0,0,0,0,0,0,0
190,0,0,-0.0086365,0,0,0,0,0,0,0,0
195,0,0,-0.0086499,0,0,0,0,0,0,0,0
200,0,0,-0.0086835,0,0,0,0,0,0,0,0
205,0,0,-0.0087232,0,0,0,0,0,0,0,0
